listing_title,listing_content,listing_category,listing_location,address,phone,email,website,listing_img,latitude,longitude
"Oilfield Testing & Consulting, LLC",Professional testing laboratory specializing in Oil & Gas Testing services. Rated  stars.,Oil & Gas Testing,Houston Texas,"2010 Grandway Dr, Katy, TX 77449, USA",(281) 579-1055,,http://www.oftesting.com/,,,
IRISNDT,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4 stars.,Oil & Gas Testing,Houston Texas,"4649 S Sam Houston Pkwy E, Houston, TX 77048, USA",(713) 722-7177,,https://www.irisndt.com/,,,
A&B Labs,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 3.5 stars.,Oil & Gas Testing,Houston Texas,"10100 East Fwy #100, Houston, TX 77029, USA",(713) 453-6060,,http://www.ablabs.com/,,,
IKM Testing UK,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4.2 stars.,Oil & Gas Testing,Aberdeen UK,"Peregrine Rd, Westhill AB32 6JL, UK",01224 725599,,https://www.ikm.com/ikm-testing-uk/,,,
ASG Inspection,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 5 stars.,Oil & Gas Testing,Aberdeen UK,"Unit 8, Airways Industrial Estate, Pitmedden Rd, Dyce, Aberdeen AB21 0DT, UK",01224 961900,,http://www.asginspection.com/,,,
Core Laboratories UK Ltd,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4.6 stars.,Oil & Gas Testing,Aberdeen UK,"Howe Moss Drive, Aberdeen AB21 0GL, UK",01224 421000,,https://www.corelab.com/,,,
Test Centre Aberdeen Ltd.,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 5 stars.,Oil & Gas Testing,Aberdeen UK,"Unit 2 Harlaw Centre, Howe Moss Cres, Dyce, Aberdeen AB21 0GN, UK",01224 774478,,http://www.testcentreaberdeen.com/,,,
Aberdeen Scientific Services Laboratory,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 5 stars.,Oil & Gas Testing,Aberdeen UK,"The James Hutton Institute, Craigiebuckler, Aberdeen AB15 8QH, UK",,,,,,
Oil & Gas UK,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 3.2 stars.,Oil & Gas Testing,Aberdeen UK,"2nd Floor, The Exchange, 62 Market St, Aberdeen AB11 5PJ, UK",01224 577250,,,,,
Element Aberdeen,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4.3 stars.,Oil & Gas Testing,Aberdeen UK,"Hareness Circle Altens Industrial Estate, Aberdeen AB12 3LY, UK",01224 890020,,https://www.element.com/locations/europe/aberdeen?utm_campaign=Local%20SEO%20EMEAA%20AD&utm_medium=referral&utm_source=google-business,,,
Applus+ Aberdeen,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 3.5 stars.,Oil & Gas Testing,Aberdeen UK,"Wellheads Way, Wellheads Industrial Estate, Aberdeen AB21 7GD, UK",01224 081100,,http://www.applus.com/uk/en/,,,
SGS - United Kingdom - Aberdeen,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 5 stars.,Oil & Gas Testing,Aberdeen UK,"SGS House, Wellheads Drive Dyce, Aberdeen,, Dyce, Grampian Region AB21 7GQ, UK",01224 793600,,https://www.sgs.com/en-gb/?utm_source=googlemybusiness&utm_medium=Referral_GMB&utm_campaign=SGSUK09,,,
Emstech Oil Services Ltd,Professional testing laboratory specializing in Oil & Gas Testing services. Rated  stars.,Oil & Gas Testing,Aberdeen UK,"Europa House, Aberdeen Energy Park, Exploration Dr, Bridge of Don, Aberdeen AB23 8GX, UK",01224 707852,,http://www.emstechoilservices.com/,,,
Oil and Gas Vision,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 5 stars.,Oil & Gas Testing,Aberdeen UK,"11 Thistle Pl, Aberdeen AB10 1UZ, UK",01224 083143,,,,,
Onsite Testing Services Ltd,Professional testing laboratory specializing in Oil & Gas Testing services. Rated  stars.,Oil & Gas Testing,Aberdeen UK,"2 Ash Grv, Inverurie AB51 6AT, UK",07876 089375,,http://www.onsitetestingservices.co.uk/,,,
Intertek ITS Testing Services,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 2 stars.,Oil & Gas Testing,Aberdeen UK,"Howe Moss Dr, Aberdeen AB21, UK",01224 772540,,https://www.intertek.com/testing/,,,
Enquest PLC,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4.3 stars.,Oil & Gas Testing,Aberdeen UK,"Annan House, Palmerston Rd, Aberdeen AB11 5QP, UK",01224 287000,,https://www.enquest.com/,,,
Premier Corex,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4.7 stars.,Oil & Gas Testing,Aberdeen UK,"Units B1 - B3, Airport Industrial Park, Howe Moss Dr, Dyce, Aberdeen AB21 0GL, UK",01224 770434,,http://www.premiercorex.com/corex,,,
I.S.S. (Aberdeen),Professional testing laboratory specializing in Oil & Gas Testing services. Rated 5 stars.,Oil & Gas Testing,Aberdeen UK,"15, The Arches, 17 S College St, Aberdeen AB11 6JX, UK",01224 254616,,http://www.issaberdeen.co.uk/,,,
Oil And Gas Appointments,Professional testing laboratory specializing in Oil & Gas Testing services. Rated  stars.,Oil & Gas Testing,Aberdeen UK,"Centurion Court, Aberdeen AB11 5QH, UK",01569 785686,,,,,
The Oil Lab Ltd,Professional testing laboratory specializing in Oil & Gas Testing services. Rated 4.6 stars.,Oil & Gas Testing,Aberdeen UK,"42 Wilworth Cres, Blackburn BB1 8QN, UK",0800 292 2004,,http://www.theoillab.co.uk/,,,
North Sea Energy Services,Professional testing laboratory specializing in Oil & Gas Testing services. Rated  stars.,Oil & Gas Testing,Aberdeen UK,"Units 3A, & 3B, Woodside Rd, Bridge of Don, Aberdeen AB23 8EF, UK",07515 382130,,https://www.nses.co.uk/,,,
Oil and gas consultancy,Professional testing laboratory specializing in Oil & Gas Testing services. Rated  stars.,Oil & Gas Testing,Aberdeen UK,"24 Airyhall Ave, Aberdeen AB15 7QU, UK",01224 950949,,https://www.elixiruk.com/contact/,,,
New Jersey Laboratories Inc,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.6 stars.,Pharmaceutical Testing,New Jersey,"1110 Somerset St, New Brunswick, NJ 08901, USA",(732) 249-0148,,https://www.njlabs.com/,,,
"Consumer Product Testing Company, Inc.",Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.4 stars.,Pharmaceutical Testing,New Jersey,"70 New Dutch Ln, Fairfield, NJ 07004, USA",(973) 808-7111,,http://www.cptclabs.com/,,,
Chemical & Analytical Testing Lab NJ,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"3001 Hadley Rd Unit 8c, South Plainfield, NJ 07080, USA",(908) 279-1832,,http://admixpharma.com/,,,
Pharmaceutical Laboratory NJ,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"3001 Hadley Rd Unit 8f, South Plainfield, NJ 07080, USA",(908) 279-1682,,http://admixpharma.com/,,,
Essex Testing Clinic Inc,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.3 stars.,Pharmaceutical Testing,New Jersey,"799 Bloomfield Ave #200, Verona, NJ 07044, USA",(973) 857-9541,,http://www.essextesting.com/,,,
EAG Laboratories,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"104 Windsor Center Dr Suite 101, East Windsor, NJ 08520, USA",(609) 371-4800,,http://www.eag.com/,,,
WuXi AppTec Lab Testing Division,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"6 Cedarbrook Dr, Cranbury, NJ 08512, USA",(609) 799-2295,,https://labtesting.wuxiapptec.com/,,,
Perritt Laboratories Inc,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.8 stars.,Pharmaceutical Testing,New Jersey,"145 S Main St, Hightstown, NJ 08520, USA",(609) 443-4848,,http://www.perritt.com/,,,
Alliance Technologies,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"9 Deerpark Dr B, Monmouth Junction, NJ 08852, USA",(732) 355-1234,,http://www.alliancetechgroup.com/?utm_source=google&utm_medium=gmb&utm_campaign=local,,,
Trichome Analytical - Cannabis Testing Laboratory,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"6000 Commerce Pkwy I, Mt Laurel Township, NJ 08054, USA",(856) 316-0600,,http://www.trichomeanalytical.com/,,,
American Testing Laboratory,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"11 Industrial Rd, Pequannock Township, NJ 07440, USA",(201) 489-8573,,http://www.mytestlab.com/,,,
PLS Analytical,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated  stars.,Pharmaceutical Testing,New Jersey,"40E Cotters Ln suite a, East Brunswick, NJ 08816, USA",(732) 698-5050,,http://www.plsanalytical.com/,,,
Trinity Medical Laboratories,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"3 Eves Dr #300, Marlton, NJ 08053, USA",(856) 334-9496,,https://www.trinitymedicallaboratories.com/,,,
"Consumer Product Testing Company, Inc. 304 Wootton St, Boonton, NJ 07005",Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.4 stars.,Pharmaceutical Testing,New Jersey,"304 Wootton St, Boonton, NJ 07005, USA",(973) 587-7999,,https://cptclabs.com/become-a-panelist/,,,
Robertson Microlit Laboratories,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"1705 US-46 #1d, Ledgewood, NJ 07852, USA",(973) 966-6668,,https://www.robertson-microlit.com/,,,
"Scientech Laboratories, Inc.",Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4 stars.,Pharmaceutical Testing,New Jersey,"107 Corporate Blvd # G, South Plainfield, NJ 07080, USA",(908) 561-6330,,https://www.scientech-labs.com/,,,
Chemo Dynamics Inc,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,New Jersey,"3 Crossman Rd S, Sayreville, NJ 08872, USA",(732) 721-4700,,http://www.chemodynamics.com/,,,
Clarity Laboratory LLC,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.8 stars.,Pharmaceutical Testing,New Jersey,"97 Mt Bethel Rd, Warren, NJ 07059, USA",(732) 595-5414,,http://www.claritylabs.com/,,,
Genesis Laboratory,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.3 stars.,Pharmaceutical Testing,New Jersey,"1912 NJ-35, Oakhurst, NJ 07755, USA",(732) 389-1530,,https://genesislaboratory.com/,,,
"Sure-BioChem Laboratories, LLC",Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.3 stars.,Pharmaceutical Testing,New Jersey,"1000 Atlantic Ave, Camden, NJ 08104, USA",(866) 708-7106,,http://www.surebiochem.com/,,,
Labor Rothen,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.4 stars.,Pharmaceutical Testing,Basel Switzerland,"Kornhausgasse 2, 4002 Basel, Switzerland",061 269 81 81,,https://www.labor-rothen.ch/,,,
drop in lab Markthalle - Basel,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.7 stars.,Pharmaceutical Testing,Basel Switzerland,"Viaduktstrasse 12, 4051 Basel, Switzerland",061 511 70 12,,http://www.dropinlab.ch/,,,
Bayer Consumer Care AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4 stars.,Pharmaceutical Testing,Basel Switzerland,"Peter Merian-Strasse 84, 4052 Basel, Switzerland",058 272 72 72,,http://www.bayer.com/,,,
Clear Solutions Laboratories AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 3 stars.,Pharmaceutical Testing,Basel Switzerland,"Mattenstrasse 22, 4058 Basel, Switzerland",,,https://clearsolutions-labs.com/,,,
Hoffmann-La Roche,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.4 stars.,Pharmaceutical Testing,Basel Switzerland,"Grenzacherstrasse 124, 4070 Basel, Switzerland",061 688 11 11,,http://www.roche.com/,,,
Wunschlabor Basel Schweiz,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 3.8 stars.,Pharmaceutical Testing,Basel Switzerland,"Kornhausgasse 2, 4051 Basel, Switzerland",061 269 81 81,,http://www.wunschlabor.ch/,,,
drop in lab Greifengasse - Basel,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,Basel Switzerland,"Greifengasse 18, 4058 Basel, Switzerland",061 511 70 10,,https://www.dropinlab.ch/,,,
Roche Pharma (Schweiz) AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 3.6 stars.,Pharmaceutical Testing,Basel Switzerland,"Gartenstrasse 9, 4052 Basel, Switzerland",061 715 41 11,,https://www.roche.ch/pharma.htm,,,
Novartis,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 3.1 stars.,Pharmaceutical Testing,Basel Switzerland,"Klybeckstrasse, 4057 Basel, Switzerland",061 324 11 11,,http://novartis.ch/,,,
Laborgemeinschaft 1 – medizinisches Labor Basel,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,Basel Switzerland,"Greifengasse 18, 4058 Basel, Switzerland",061 261 66 13,,http://www.lg1.ch/,,,
Teva Pharma AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.6 stars.,Pharmaceutical Testing,Basel Switzerland,"Kirschgartenstrasse 14, 4051 Basel, Switzerland",061 705 43 43,,,,,
MEDISYN Basel,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,Basel Switzerland,"Hirschgässlein 11-15, 4010 Basel, Switzerland",058 400 15 90,,,,,
Inuspherese® Zentrum Basel | Reinigung Blutplasma | Ayus Clinic,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,Basel Switzerland,"Aeschengraben 10, 4051 Basel, Switzerland",061 381 85 85,,https://www.ayus.group/kontakt,,,
Fisher Clinical Services GmbH,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 3.6 stars.,Pharmaceutical Testing,Basel Switzerland,"Steinbühlweg 69, 4123 Allschwil, Switzerland",061 485 23 00,,https://www.fisherclinicalservices.com/,,,
Eurofins BioPharma Product Testing Switzerland AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,Basel Switzerland,"Parkstrasse 10, 5012 Schönenwerd, Switzerland",062 858 71 50,,https://www.eurofins.ch/bpt,,,
Kant. Laboratorium,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.3 stars.,Pharmaceutical Testing,Basel Switzerland,"Kannenfeldstrasse 2, 4056 Basel, Switzerland",061 385 25 00,,,,,
Thermo Fisher Scientific,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4 stars.,Pharmaceutical Testing,Basel Switzerland,"Steinbühlweg 69, 4123 Allschwil, Switzerland",061 485 23 00,,https://www.thermofisher.com/,,,
NBE-Therapeutics AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 5 stars.,Pharmaceutical Testing,Basel Switzerland,"Hochbergerstrasse 60I, 4057 Basel, Switzerland",,,http://www.nbe-therapeutics.com/,,,
Superlab Suisse Basel AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated  stars.,Pharmaceutical Testing,Basel Switzerland,"Hochbergerstrasse 60l, 4057 Basel, Switzerland",,,https://superlabsuisse.com/basel/,,,
Haefely AG,Professional testing laboratory specializing in Pharmaceutical Testing services. Rated 4.1 stars.,Pharmaceutical Testing,Basel Switzerland,"Birsstrasse 300, 4052 Basel, Switzerland",061 373 41 11,,http://www.haefely.com/,,,
Bioscience Laboratories,Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"665 3rd St #250, San Francisco, CA 94107, USA",(415) 495-5570,,,,,
SHASTABIO,Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"2974 Teagarden St, San Leandro, CA 94577, USA",(510) 992-6800,,https://www.shastabio.com/,,,
Mega Lab Services,Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"1321 Evans Ave STE E, San Francisco, CA 94124, USA",(415) 872-9284,,,,,
UCSF Lab Services at Mission Bay,Professional testing laboratory specializing in Biotech Testing services. Rated 4.6 stars.,Biotech Testing,San Francisco California,"1825 4th St Third Floor, San Francisco, CA 94158, USA",(415) 514-2629,,https://www.ucsfhealth.org/clinics/lab-services-at-mission-bay,,,
Labcorp,Professional testing laboratory specializing in Biotech Testing services. Rated 2.8 stars.,Biotech Testing,San Francisco California,"148 Noe St, San Francisco, CA 94114, USA",(415) 487-8960,,https://locations.labcorp.com/ca/san-francisco/23268/,,,
Labcorp,Professional testing laboratory specializing in Biotech Testing services. Rated 2.7 stars.,Biotech Testing,San Francisco California,"2233 Post St Ste 105, San Francisco, CA 94115, USA",(415) 928-0199,,https://locations.labcorp.com/ca/san-francisco/18884/,,,
Monogram Biosciences Inc,Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"345 Oyster Point Blvd, South San Francisco, CA 94080, USA",(800) 777-0177,,http://www.monogrambio.com/,,,
UCSF Lab Services at Parnassus,Professional testing laboratory specializing in Biotech Testing services. Rated 3.6 stars.,Biotech Testing,San Francisco California,"400 Parnassus Ave First Floor, San Francisco, CA 94143, USA",(415) 353-2736,,https://www.ucsfhealth.org/clinics/lab-services-at-parnassus,,,
Labcorp,Professional testing laboratory specializing in Biotech Testing services. Rated 2.7 stars.,Biotech Testing,San Francisco California,"2622 Ocean Ave, San Francisco, CA 94132, USA",(415) 469-9710,,https://locations.labcorp.com/ca/san-francisco/27276/,,,
Labcorp,Professional testing laboratory specializing in Biotech Testing services. Rated 2.9 stars.,Biotech Testing,San Francisco California,"490 Post St STE 419, San Francisco, CA 94102, USA",(415) 837-0782,,https://locations.labcorp.com/ca/san-francisco/18877/,,,
Cel Analytical Inc,Professional testing laboratory specializing in Biotech Testing services. Rated 3.7 stars.,Biotech Testing,San Francisco California,"82 Mary St #2902, San Francisco, CA 94103, USA",(415) 882-1690,,http://www.celanalytical.com/,,,
Labcorp,Professional testing laboratory specializing in Biotech Testing services. Rated 3.1 stars.,Biotech Testing,San Francisco California,"2100 Webster St Ste 420, San Francisco, CA 94115, USA",(415) 674-1662,,https://locations.labcorp.com/ca/san-francisco/18883/,,,
Myriad Women's Health,Professional testing laboratory specializing in Biotech Testing services. Rated 2.6 stars.,Biotech Testing,San Francisco California,"233 E Grand Ave., South San Francisco, CA 94080, USA",(888) 268-6795,,https://myriad.com/,,,
"Apex Testing Laboratories, Inc.",Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"1790 Yosemite Ave, San Francisco, CA 94124, USA",(415) 550-9800,,https://www.apextestinglabs.com/,,,
JLABS @ SSF,Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"329 Oyster Point Blvd 3rd Floor, South San Francisco, CA 94080, USA",(650) 491-9600,,https://jnjinnovation.com/jlabs/locations/jlabs-ssf,,,
"Healthy Building Science, Inc.",Professional testing laboratory specializing in Biotech Testing services. Rated 4.7 stars.,Biotech Testing,San Francisco California,"201 Spear St Suite 1100, #3226, San Francisco, CA 94105, USA",(415) 785-7986,,https://www.healthybuildingscience.com/,,,
Genentech,Professional testing laboratory specializing in Biotech Testing services. Rated 4.5 stars.,Biotech Testing,San Francisco California,"1 DNA Way, South San Francisco, CA 94080, USA",(650) 225-1000,,http://www.gene.com/,,,
"Gryphon Bio, Inc.",Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"Building 83, 611 Gateway Blvd Suite 120 #253, South San Francisco, CA 94080, USA",,,http://gryphonbio.com/,,,
Pacific Biolabs Inc,Professional testing laboratory specializing in Biotech Testing services. Rated 3.2 stars.,Biotech Testing,San Francisco California,"551 Linus Pauling Dr, Hercules, CA 94547, USA",(510) 964-9000,,http://www.pacificbiolabs.com/,,,
"Enable Biosciences, Inc",Professional testing laboratory specializing in Biotech Testing services. Rated 5 stars.,Biotech Testing,San Francisco California,"510 Myrtle Ave # 101, South San Francisco, CA 94080, USA",(510) 239-3371,,http://www.enablebiosciences.com/,,,
MRC Laboratory of Molecular Biology,Professional testing laboratory specializing in Biotech Testing services. Rated 4.7 stars.,Biotech Testing,Cambridge UK,"Cambridge Biomedical Campus, Francis Crick Ave, Trumpington, Cambridge CB2 0QH, UK",01223 267000,,http://www2.mrc-lmb.cam.ac.uk/about-lmb/how-to-find-us/,,,
Environmental Laboratory Network Inc,Professional testing laboratory specializing in Environmental Testing services. Rated 4.4 stars.,Environmental Testing,California,"3440 El Cajon Blvd, San Diego, CA 92104, USA",(858) 266-1666,,http://www.envirolabnetwork.com/,,,
LA Testing,Professional testing laboratory specializing in Environmental Testing services. Rated 4.8 stars.,Environmental Testing,California,"5431 Industrial Dr, Huntington Beach, CA 92649, USA",(800) 755-1794,,http://www.emsl.com/,,,
Torrent Laboratory Inc,Professional testing laboratory specializing in Environmental Testing services. Rated 4.3 stars.,Environmental Testing,California,"483 Sinclair Frontage Rd, Milpitas, CA 95035, USA",(408) 263-5258,,https://torrentlab.com/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,,,
Tap Score - Drinking Water Testing,Professional testing laboratory specializing in Environmental Testing services. Rated 4.9 stars.,Environmental Testing,California,"1860 Le Roy Ave, Berkeley, CA 94720, USA",(510) 485-9396,,http://mytapscore.com/,,,
American Environmental Testing,Professional testing laboratory specializing in Environmental Testing services. Rated 4 stars.,Environmental Testing,California,"2840 N Naomi St, Burbank, CA 91504, USA",(818) 845-8200,,http://www.aetlab.com/,,,
Eurofins Built Environment Testing - Tustin,Professional testing laboratory specializing in Environmental Testing services. Rated 4.1 stars.,Environmental Testing,California,"2841 Dow Ave Suite 300, Tustin, CA 92780, USA",(833) 465-5857,,https://www.eurofinsus.com/environment-testing/built-environment/,,,
Eurofins Built Environment Testing- Glendale,Professional testing laboratory specializing in Environmental Testing services. Rated 5 stars.,Environmental Testing,California,"1010 N Central Ave Suite 460, Glendale, CA 91202, USA",(833) 465-5857,,https://www.eurofinsus.com/environment-testing/built-environment/,,,
JLM Environmental,Professional testing laboratory specializing in Environmental Testing services. Rated 4.6 stars.,Environmental Testing,California,"15200 Grevillea Ave B, Lawndale, CA 90260, USA",(310) 930-3355,,http://www.jlmenvironmental.com/,,,
KNIGHT ENVIRONMENTAL CONSULTING of Beverly Hills - Mold Testing and Inspection,Professional testing laboratory specializing in Environmental Testing services. Rated 4.7 stars.,Environmental Testing,California,"8383 Wilshire Blvd Suite 800, Unit 10, Beverly Hills, CA 90211, USA",(858) 999-6292,,,,,
LA Testing,Professional testing laboratory specializing in Environmental Testing services. Rated 4.4 stars.,Environmental Testing,California,"520 Mission St, South Pasadena, CA 91030, USA",(800) 303-0047,,http://www.latesting.com/,,,
AEMTEK Laboratories,Professional testing laboratory specializing in Environmental Testing services. Rated 4.9 stars.,Environmental Testing,California,"466 Kato Terrace, Fremont, CA 94539, USA",(510) 979-1979,,http://aemtek.com/,,,
Eurofins Environment Testing - Sacramento,Professional testing laboratory specializing in Environmental Testing services. Rated 4.2 stars.,Environmental Testing,California,"880 Riverside Pkwy, West Sacramento, CA 95605, USA",(916) 373-5600,,https://www.eurofinsus.com/env,,,
Western Analytical Laboratory,Professional testing laboratory specializing in Environmental Testing services. Rated 4.9 stars.,Environmental Testing,California,"12734 Branford St STE 19, Arleta, CA 91331, USA",(818) 899-0949,,http://www.asbestostesting.com/,,,
Kapak Inc. Environmental Laboratory Services,Professional testing laboratory specializing in Environmental Testing services. Rated 5 stars.,Environmental Testing,California,"1210 N Jefferson St STE C, Anaheim, CA 92807, USA",(714) 238-1275,,http://www.kapaklabs.com/,,,
Jones Environmental,Professional testing laboratory specializing in Environmental Testing services. Rated 4.9 stars.,Environmental Testing,California,"10260 Matern Pl, Santa Fe Springs, CA 90670, USA",(714) 449-9937,,http://www.jonesenv.com/,,,
Quanta Laboratories,Professional testing laboratory specializing in Environmental Testing services. Rated 4.8 stars.,Environmental Testing,California,"3199 De La Cruz Blvd, Santa Clara, CA 95054, USA",(408) 988-0770,,http://www.quantalabs.com/,,,
Pro Environmental Testing,Professional testing laboratory specializing in Environmental Testing services. Rated 5 stars.,Environmental Testing,California,"4600 Coldwater Canyon Ave suit #203, Studio City, CA 91604, USA",(800) 956-2311,,https://proenvironmentaltesting.com/,,,
West Coast Environmental Testing,Professional testing laboratory specializing in Environmental Testing services. Rated 5 stars.,Environmental Testing,California,"11024 Balboa Blvd Suite 757, Granada Hills, CA 91344, USA",(818) 366-8600,,http://westcoastmoldinspection.com/,,,
